Target,Ligand,expddg,mean_plddt,ranking_confidence,ligand_rmsd,kabsch_rmsd,global_rmsd_ca,pocket_rmsd_ca,global_rmsd_aa,pocket_rmsd_aa
CDK2,28,-11.112,92.81787445711079,0.9571168641746994,1.1370612970870713,1.0763658762742716,0.4623975157737732,0.1993693262338638,0.8951240181922913,0.6803584694862366
CDK2,1oiy,-9.785,92.79382726548785,0.9573741978898929,1.1464989825914946,1.077295351521083,0.4448664784431457,0.2689612209796905,0.9351321458816528,0.8304679989814758
CDK2,17,-7.041,92.78307830441967,0.9563174299638828,1.559064181648722,1.4941383908789394,0.5417666435241699,0.2161520272493362,0.9461478590965272,0.6342893838882446
CDK2,21,-7.828,92.49505811050311,0.9526889778303913,1.1823565263560172,1.0975067608917224,0.4380857646465301,0.2225331515073776,0.8657262325286865,0.6676304340362549
CDK2,1oiu,-9.083,92.49790577382541,0.9525708592362699,1.3685809929144372,1.2004190217947366,0.4997186660766601,0.2759498953819275,0.9277045130729676,0.7978929281234741
CDK2,29,-9.882,92.87535393117176,0.9570032361749508,1.460610374694999,1.4198419153204234,0.4985723793506622,0.1573227196931839,0.9669572114944458,0.6628381013870239
CDK2,1h1s,-11.246,92.83762401207716,0.9576381859784593,0.6055477234840098,0.460811872403603,0.501937985420227,0.1951219737529754,0.9235215187072754,0.5484327673912048
CDK2,26,-8.431,92.51956717088208,0.9536367373132757,1.5341011075979745,1.47503420804417,0.5087391138076782,0.2611248791217804,0.9194875955581664,0.777335524559021
CDK2,1oi9,-9.741,92.48906112490687,0.9538821077697284,1.577374262421572,1.492285746846695,0.4963364005088806,0.2442815005779266,0.9418513178825378,0.7211671471595764
CDK2,22,-7.862,92.40449146136301,0.950298210232308,1.3943094862093328,1.2175592086727347,0.4235540330410003,0.2371584773063659,0.8622757792472839,0.6163848042488098
CDK2,30,-9.812,92.82328581335953,0.9575802814676216,1.1115261271108294,1.0729637130401504,0.7546136379241943,0.2394724786281585,1.19440495967865,0.7230412364006042
CDK2,20,-8.718,92.51837549788083,0.9521145234552888,0.6663841165824208,0.4875430924394416,0.6167469620704651,0.2252662181854248,1.0746551752090454,0.6604433655738831
CDK2,32,-9.75,92.73792003108774,0.9555457976511774,1.1563937400744315,1.0762182189014662,0.3833384215831756,0.1892504543066024,0.8229760527610779,0.5107218623161316
CDK2,1h1r,-7.669,92.61353564941672,0.9545100397849892,0.5252888046906516,0.4048040154274005,0.7765644192695618,0.2296506762504577,1.1790287494659424,0.8274847269058228
CDK2,1h1q,-8.179,92.53372047780064,0.9552072549519635,1.155508076021107,1.0781892198631735,0.443244457244873,0.1976429373025894,0.8821067810058594,0.6435753107070923
JNK1,18652-1,-10.682977,88.74789755823484,0.9651454933770605,0.3369399993794416,0.1955628828874835,2.509939670562744,1.1927913427352903,2.929437160491944,1.527791976928711
JNK1,18628-1,-8.702592,88.68060532345883,0.9070616186185891,7.66270452469148,2.000602860025742,2.3967814445495605,3.144489526748657,2.825882196426392,2.85315489768982
JNK1,18625-1,-8.105004,88.91781330165824,0.9299111522660203,7.509264225608259,1.9553315021474629,2.344619035720825,3.0761334896087646,2.7876365184783936,2.8129897117614746
JNK1,18639-1,-9.740725,88.31506878917114,0.9520472111692315,1.199101477053851,1.1072860828282969,2.4590790271759038,3.2909703254699707,2.8492798805236816,3.205291986465454
JNK1,18629-1,-8.67377,88.30801890556462,0.8927045091241856,0.4866309620049037,0.2954853289537494,2.3564109802246094,3.317951440811157,2.7832844257354736,3.222714424133301
JNK1,18633-1,-9.174299,88.44795997329325,0.9191457021386124,1.138115229027999,1.0312065408071889,2.4161171913146973,3.3092098236083984,2.80977725982666,3.2230160236358643
JNK1,18635-1,-7.286071,88.73195330737576,0.9181733217360553,7.205765506018585,1.9961038113324263,2.50293493270874,3.5147178173065186,2.8887152671813965,3.332655668258667
JNK1,18632-1,-9.083236,88.43065813838759,0.9249605072259816,0.3641327792290764,0.2519387899534114,2.3996686935424805,1.1657980680465698,2.8370580673217773,1.5405505895614624
JNK1,18630-1,-9.142359,88.61671320459469,0.8753140689374747,7.719995661798122,1.8130351556082087,2.4955201148986816,3.05256724357605,2.916074275970459,2.785470962524414
JNK1,18660-1,-8.702592,88.51905414585846,0.9613845366476141,0.5610460259032393,0.3537858562067504,1.7785784006118774,3.2704222202301025,2.387701988220215,3.189378023147583
JNK1,18636-1,-7.512318,88.4722446564905,0.8582028928076906,7.701541460111617,2.0232251782080346,2.4135868549346924,3.747649669647217,2.848419189453125,3.535177230834961
JNK1,18634-1,-9.993231,88.29214016176962,0.9271164517685263,1.138542013038845,1.040672085028863,2.456240177154541,1.9953526258468628,2.826559066772461,2.057612895965576
JNK1,18658-1,-9.699398,88.31775537840049,0.966347189275503,0.5024025287646265,0.4007456084082468,2.356178045272827,2.683521270751953,2.772963285446167,2.76596736907959
JNK1,17124-1,-9.675922,88.52115431725129,0.9585189033717526,1.1281536345648224,1.043379013567642,2.372483253479004,3.632736921310425,2.775718212127685,3.4780874252319336
JNK1,18637-1,-10.141692,88.34527033289376,0.9394925420063192,1.2025241233641542,1.1001524023536249,2.37117075920105,2.740020275115967,2.8188061714172363,2.5565783977508545
JNK1,18631-1,-9.413821,88.4363319546057,0.9225147969722788,1.1286875119117137,1.0351201723261692,2.332075834274292,3.289261817932129,2.737035036087036,3.210752010345459
JNK1,18627-1,-8.483096,88.67139563091467,0.9011356205978115,7.824209230360251,1.7984945480778327,2.403419017791748,3.7088968753814697,2.8327622413635254,3.5060482025146484
JNK1,18624-1,-8.49337,88.9908758932438,0.9267976253786397,7.753744781394343,1.9733438941647743,2.4627277851104736,1.588987946510315,2.8630642890930176,1.8571935892105105
JNK1,18638-1,-10.093111,88.51197514113038,0.9571737721888184,1.1121100638385166,1.0383858906023358,2.3290340900421143,1.1713507175445557,2.756611585617065,1.5606762170791626
JNK1,18626-1,-8.872536,88.84528317939265,0.92066193028249,7.710124985250358,1.8805265957033308,2.3879928588867188,1.7408733367919922,2.827180862426758,1.7328764200210571
JNK1,18659-1,-9.465222,88.65727794596535,0.9632988753735868,1.1852324455565668,1.0938153490938891,2.4600977897644043,3.274005174636841,2.8523495197296143,3.196847915649414
