Target,Model,MUE,MUE_l,MUE_u,tau,tau_l,tau_u,r2,r2_l,r2_u
MCL1,HF3(Derivative),1.546951585691455,1.403046896599422,1.6915287913411268,0.4811157116664521,0.4321118684142574,0.5297295490422331,0.4627904935397742,0.3954681949985959,0.5289593771664427
P38,Crystal,0.8569529531020856,0.6765295810465767,1.0463195729013937,0.5188643669067551,0.384157841289914,0.649873849256003,0.3379142534254571,0.2165302650530749,0.471868720176168
P38,HF3(Holo),0.6821759216315824,0.4682207688203172,0.91487395210945,0.5439996649576013,0.3934600560228457,0.6843113620397812,0.4471254778525291,0.2528617559944413,0.6460602742481654
P38,HF3(Apo),0.7535822385010145,0.5054054082696473,1.0324347216029788,0.3860063629237105,0.2246305679235487,0.5370264151269237,0.2689767795920168,0.1606710038064063,0.410864629073248
P38,HF3(Derivative),0.7153935037106957,0.5428113598729782,0.8964033951182963,0.6265870728389533,0.5304689749411444,0.7135975750258814,0.6247122658442928,0.4920084511016126,0.746979839262297
PTP1B,Crystal,1.27039528081737,0.9487674093100372,1.6068251693818911,0.0159688591508001,0.0,0.2314015441824155,0.0,-0.0172062271806412,0.0845371270326109
PTP1B,HF3(Holo),0.5552005104566728,0.3235304076875296,0.8010929749251081,0.6227855068812076,0.4534381509158441,0.7728153339318481,0.4667941525259383,0.283707861283204,0.6904510741864978
PTP1B,HF3(Apo),0.4992077196809156,0.2255504699876521,0.7987768209042964,0.6307699364566077,0.4432164841734169,0.8025158150664212,0.7454014622804254,0.5151232816382021,0.989295412210961
PTP1B,HF3(Derivative),0.7711367443666809,0.516319064592673,1.0409917876156092,0.495034633674806,0.2974104203681631,0.6806630399873679,0.3684745790741878,0.2011744180556535,0.5923660581393352
Thrombin,Crystal,0.1518607513372558,0.0291014114451486,0.2873021141524867,0.8181818181818182,0.5547418181818182,1.0638327272727277,0.8564667651996634,0.5432265638219534,1.1287585869353447
Thrombin,HF3(Holo),0.3100758771659909,0.1669359087778274,0.4627948296648749,0.8181818181818182,0.6406036363636364,0.9678763636363636,0.8574817284706238,0.6718362509743898,1.009675917217047
Thrombin,HF3(Apo),0.3806781879781691,0.2423428812492726,0.5280391578920929,0.8545454545454545,0.7029272727272727,0.9574727272727273,0.8816835699043083,0.7454530117615081,0.992752866684548
Thrombin,HF3(Derivative),0.3916563108834353,0.2496400236881307,0.5441733444132976,0.8545454545454545,0.7400581818181817,0.95824,0.8786672903987612,0.7415948082984325,0.9945145664919852
TYK2,Crystal,0.6584028801065869,0.4865572830441146,0.8345179056774671,0.5833333333333334,0.4371416666666667,0.7371416666666667,0.6236220609288163,0.452600272317035,0.7885254145174404
TYK2,HF3(Holo),0.7754798930895048,0.6007816927423494,0.957188193132225,0.4666666666666666,0.3176716666666666,0.6176716666666666,0.4557855763244314,0.2926050112014682,0.6332903883283939
TYK2,HF3(Apo),0.9036663498030976,0.6379375939545595,1.2191139359293617,0.3,0.0853633333333333,0.5186966666666668,0.2689663804937345,0.0148084899797366,0.5856839104545954
TYK2,HF3(Derivative),0.8241447533713653,0.6602630397034795,0.9912749302878155,0.4666666666666666,0.2957099999999999,0.6290433333333333,0.4292510952693525,0.2644135037312263,0.5941581692319451
